region,district,township,loss,treecover2000,percentloss,year
Bago,Pyay,Shwedaung,6,50887,1.17908e-4,2002
Ayeyarwady,Hinthada,Kyangin,73,470713,1.55084e-4,2002
Ayeyarwady,Hinthada,Myanaung,56,694854,8.05925e-5,2002
Ayeyarwady,Hinthada,Ingapu,131,875065,1.49703e-4,2002
Rakhine,Thandwe,Gwa,2075,3113144,6.66529e-4,2002
Rakhine,Kyaunkpyu,Man Aung,45,252183,1.78442e-4,2002
Rakhine,Kyaunkpyu,Ramree,2378,917803,0.00259097,2002
Ayeyarwady,Bassein,Bassein West,4030,1121269,0.003594142,2002
Ayeyarwady,Bassein,Thabaung,2531,1591547,0.001590277,2002
Ayeyarwady,Hinthada,Lemyethna,186,585055,3.17919e-4,2002
Ayeyarwady,Bassein,Yegyi,85,453532,1.87418e-4,2002
Ayeyarwady,Bassein,Kyonpyaw,3,87870,3.41413e-5,2002
Ayeyarwady,Bassein,Kyaunggon,3,20394,1.47102e-4,2002
Ayeyarwady,Myoungmya,Einme,2,32902,6.07866e-5,2002
Ayeyarwady,Myoungmya,Moulmeingyun,7,10347,6.76525e-4,2002
Ayeyarwady,Maubin,Pantanaw,32,136447,2.34523e-4,2002
Ayeyarwady,Pharpon,Kyaiklat,3,24235,1.23788e-4,2002
Ayeyarwady,Maubin,Ma-Ubin,15,20191,7.42905e-4,2002
Ayeyarwady,Maubin,Irrawaddy,8,25431,3.14577e-4,2002
Ayeyarwady,Maubin,Yandoon,32,58093,5.50841e-4,2002
Ayeyarwady,Maubin,Danubyu,7,46895,1.4927e-4,2002
Yangon,Yangon-N,Taikkyi,7,29022,2.41196e-4,2002
Ayeyarwady,Hinthada,Henzada,8,76335,1.04801e-4,2002
Ayeyarwady,Hinthada,Danubyu,2,56837,3.51883e-5,2002
Bago,Thayarwady,Minhla,795,1072069,7.41557e-4,2002
Ayeyarwady,Hinthada,Zalun,8,40527,1.97399e-4,2002
Bago,Thayarwady,Monyo,1,17778,5.62493e-5,2002
Bago,Thayarwady,Tharrawaddy,1,19361,5.16502e-5,2002
Yangon,Yangon-N,Hmawbi,238,738893,3.22103e-4,2002
Yangon,Yangon-N,Hlegu,1014,867395,0.001169018,2002
Bago,Thayarwady,Letpatan,263,609211,4.31706e-4,2002
Bago,Pegu,Bago (Pegu),4197,2458344,0.001707247,2002
Bago,Pegu,Kyauktaga,3467,2811773,0.00123303,2002
Bago,Pegu,Daik-U,1830,467487,0.003914547,2002
Bago,Pegu,Kawa,0,15215,0,2002
Yangon,Yangon-S,Kayan,0,4798,0,2002
Yangon,Yangon-S,Syriam,1,2559,3.90778e-4,2002
Yangon,Yangon-E,Yangon (Rangoon),0,2381,0,2002
Yangon,Yangon-W,Yangon (Rangoon),3,5167,5.80608e-4,2002
Yangon,Yangon-N,Htantabin,0,3599,0,2002
Yangon,Yangon-S,Insein,2,11756,1.70126e-4,2002
Yangon,Yangon-S,Kawkhmu,126,185181,6.80415e-4,2002
Ayeyarwady,Pharpon,Dedaye,3,13432,2.23347e-4,2002
Yangon,Yangon-S,Kungyangon,35,64359,5.43824e-4,2002
Yangon,Yangon-S,Kyauktan,1,3667,2.72702e-4,2002
Yangon,Yangon-S,Thongwa,0,2050,0,2002
Bago,Pegu,Thanatpin,0,9451,0,2002
Mon,Thaton,Bilin,2618,1877036,0.001394752,2002
Mon,Thaton,Paung,402,240921,0.001668597,2002
Mon,Mawlamyine,Chaungzon,22,57547,3.82296e-4,2002
Mon,Mawlamyine,Moulmein,1,15320,6.52742e-5,2002
Mon,Mawlamyine,Mudon,104,257485,4.03907e-4,2002
Mon,Mawlamyine,Kyaikmaraw,611,556959,0.001097029,2002
Kayin,Kawkareik,Pa-An,1529,1419591,0.001077071,2002
Mon,Thaton,Thaton,170,631416,2.69236e-4,2002
Kayin,Kawkareik,Hlaingbwe,6110,4235041,0.001442725,2002
Mon,Thaton,Kyaikto,1088,871958,0.001247767,2002
Bago,Pegu,Shwegyin,5992,2804952,0.002136222,2002
Kayin,Kawkareik,Papun,20511,8723762,0.002351165,2002
Bago,Pegu,Nyaungiebin,33,21410,0.001541336,2002
Bago,Pegu,Waw,4,16993,2.35391e-4,2002
Bago,Taungoo,Pyu,1304,1819751,7.16582e-4,2002
Bago,Taungoo,Kyaukki,4518,2323858,0.001944181,2002
Bago,Taungoo,Oktwin,772,1286045,6.0029e-4,2002
Bago,Taungoo,Tantabin,866,143523,0.006033876,2002
Kayin,Kawkareik,Thandaung,7855,4749629,0.001653813,2002
Kayah,Bawlake,Pasawng,1176,4227571,2.78174e-4,2002
Kayah,Bawlake,Bawlakhe,2131,2291745,9.29859e-4,2002
Kayah,Loikaw,Hsataw,541,2785146,1.94245e-4,2002
Kayah,Loikaw,Loi-Kaw,832,753318,0.001104447,2002
